,img,type,path
0,-40.500000_-40.600000_19_600x600,0,sxm-ecommerce-p66-location-data/version1/roadmap_3000_coords/-40.500000_-40.600000_19_600x600.png
1,19.648940_-156.001953_19_600x600,0,sxm-ecommerce-p66-location-data/version1/roadmap_3000_coords/19.648940_-156.001953_19_600x600.png
2,19.702207_-155.072582_19_600x600,0,sxm-ecommerce-p66-location-data/version1/roadmap_3000_coords/19.702207_-155.072582_19_600x600.png
3,20.795521_-156.510956_19_600x600,0,sxm-ecommerce-p66-location-data/version1/roadmap_3000_coords/20.795521_-156.510956_19_600x600.png
4,20.867870_-156.495804_19_600x600,0,sxm-ecommerce-p66-location-data/version1/roadmap_3000_coords/20.867870_-156.495804_19_600x600.png
5,20.877458_-156.677518_19_600x600,0,sxm-ecommerce-p66-location-data/version1/roadmap_3000_coords/20.877458_-156.677518_19_600x600.png
6,20.888358_-156.478413_19_600x600,0,sxm-ecommerce-p66-location-data/version1/roadmap_3000_coords/20.888358_-156.478413_19_600x600.png
7,21.282715_-157.735091_19_600x600,0,sxm-ecommerce-p66-location-data/version1/roadmap_3000_coords/21.282715_-157.735091_19_600x600.png
8,21.294080_-157.828811_19_600x600,0,sxm-ecommerce-p66-location-data/version1/roadmap_3000_coords/21.294080_-157.828811_19_600x600.png
9,21.298292_-157.836547_19_600x600,0,sxm-ecommerce-p66-location-data/version1/roadmap_3000_coords/21.298292_-157.836547_19_600x600.png
10,21.300016_-157.843697_19_600x600,0,sxm-ecommerce-p66-location-data/version1/roadmap_3000_coords/21.300016_-157.843697_19_600x600.png
11,21.300318_-157.838943_19_600x600,0,sxm-ecommerce-p66-location-data/version1/roadmap_3000_coords/21.300318_-157.838943_19_600x600.png
12,21.324583_-157.889729_19_600x600,0,sxm-ecommerce-p66-location-data/version1/roadmap_3000_coords/21.324583_-157.889729_19_600x600.png
13,21.331533_-157.865814_19_600x600,0,sxm-ecommerce-p66-location-data/version1/roadmap_3000_coords/21.331533_-157.865814_19_600x600.png
14,21.332985_-157.697438_19_600x600,0,sxm-ecommerce-p66-location-data/version1/roadmap_3000_coords/21.332985_-157.697438_19_600x600.png
15,21.344722_-157.930826_19_600x600,0,sxm-ecommerce-p66-location-data/version1/roadmap_3000_coords/21.344722_-157.930826_19_600x600.png
16,21.377748_-157.930511_19_600x600,0,sxm-ecommerce-p66-location-data/version1/roadmap_3000_coords/21.377748_-157.930511_19_600x600.png
17,21.389404_-158.153791_19_600x600,0,sxm-ecommerce-p66-location-data/version1/roadmap_3000_coords/21.389404_-158.153791_19_600x600.png
18,21.390457_-157.953034_19_600x600,0,sxm-ecommerce-p66-location-data/version1/roadmap_3000_coords/21.390457_-157.953034_19_600x600.png
