,img,type,path
0,"img_27.780159,-82.638729_freq_1",0,"sxm-ecomm-sagemaker-dev/freqs/img_27.780159,-82.638729_freq_1.png"
1,"img_27.780159,-82.638729_freq_2",0,"sxm-ecomm-sagemaker-dev/freqs/img_27.780159,-82.638729_freq_2.png"
2,"img_27.780159,-82.638729_freq_3",0,"sxm-ecomm-sagemaker-dev/freqs/img_27.780159,-82.638729_freq_3.png"
3,"img_27.780159,-82.638729_freq_4",0,"sxm-ecomm-sagemaker-dev/freqs/img_27.780159,-82.638729_freq_4.png"
4,"img_28.541808,-81.371378_freq_1",0,"sxm-ecomm-sagemaker-dev/freqs/img_28.541808,-81.371378_freq_1.png"
5,"img_28.541808,-81.371378_freq_2",0,"sxm-ecomm-sagemaker-dev/freqs/img_28.541808,-81.371378_freq_2.png"
6,"img_28.541808,-81.371378_freq_3",0,"sxm-ecomm-sagemaker-dev/freqs/img_28.541808,-81.371378_freq_3.png"
7,"img_28.541808,-81.371378_freq_4",0,"sxm-ecomm-sagemaker-dev/freqs/img_28.541808,-81.371378_freq_4.png"
8,"img_28.782888,-97.045563_freq_1",0,"sxm-ecomm-sagemaker-dev/freqs/img_28.782888,-97.045563_freq_1.png"
9,"img_28.782888,-97.045563_freq_2",0,"sxm-ecomm-sagemaker-dev/freqs/img_28.782888,-97.045563_freq_2.png"
10,"img_28.782888,-97.045563_freq_3",0,"sxm-ecomm-sagemaker-dev/freqs/img_28.782888,-97.045563_freq_3.png"
11,"img_28.782888,-97.045563_freq_4",0,"sxm-ecomm-sagemaker-dev/freqs/img_28.782888,-97.045563_freq_4.png"
12,"img_29.617713,-95.564214_freq_1",0,"sxm-ecomm-sagemaker-dev/freqs/img_29.617713,-95.564214_freq_1.png"
13,"img_29.617713,-95.564214_freq_2",0,"sxm-ecomm-sagemaker-dev/freqs/img_29.617713,-95.564214_freq_2.png"
14,"img_29.617713,-95.564214_freq_3",0,"sxm-ecomm-sagemaker-dev/freqs/img_29.617713,-95.564214_freq_3.png"
15,"img_29.617713,-95.564214_freq_4",0,"sxm-ecomm-sagemaker-dev/freqs/img_29.617713,-95.564214_freq_4.png"
16,"img_30.742342,-99.225417_freq_1",0,"sxm-ecomm-sagemaker-dev/freqs/img_30.742342,-99.225417_freq_1.png"
17,"img_30.742342,-99.225417_freq_2",0,"sxm-ecomm-sagemaker-dev/freqs/img_30.742342,-99.225417_freq_2.png"
18,"img_30.742342,-99.225417_freq_3",0,"sxm-ecomm-sagemaker-dev/freqs/img_30.742342,-99.225417_freq_3.png"
19,"img_30.742342,-99.225417_freq_4",0,"sxm-ecomm-sagemaker-dev/freqs/img_30.742342,-99.225417_freq_4.png"
20,"img_31.782211,-97.576846_freq_1",0,"sxm-ecomm-sagemaker-dev/freqs/img_31.782211,-97.576846_freq_1.png"
21,"img_31.782211,-97.576846_freq_2",0,"sxm-ecomm-sagemaker-dev/freqs/img_31.782211,-97.576846_freq_2.png"
22,"img_31.782211,-97.576846_freq_3",0,"sxm-ecomm-sagemaker-dev/freqs/img_31.782211,-97.576846_freq_3.png"
23,"img_31.782211,-97.576846_freq_4",0,"sxm-ecomm-sagemaker-dev/freqs/img_31.782211,-97.576846_freq_4.png"
24,"img_32.012106,-90.357557_freq_1",0,"sxm-ecomm-sagemaker-dev/freqs/img_32.012106,-90.357557_freq_1.png"
25,"img_32.012106,-90.357557_freq_2",0,"sxm-ecomm-sagemaker-dev/freqs/img_32.012106,-90.357557_freq_2.png"
26,"img_32.012106,-90.357557_freq_3",0,"sxm-ecomm-sagemaker-dev/freqs/img_32.012106,-90.357557_freq_3.png"
27,"img_32.012106,-90.357557_freq_4",0,"sxm-ecomm-sagemaker-dev/freqs/img_32.012106,-90.357557_freq_4.png"
28,"img_32.593073,-85.488610_freq_1",0,"sxm-ecomm-sagemaker-dev/freqs/img_32.593073,-85.488610_freq_1.png"
29,"img_32.593073,-85.488610_freq_2",0,"sxm-ecomm-sagemaker-dev/freqs/img_32.593073,-85.488610_freq_2.png"
30,"img_32.593073,-85.488610_freq_3",0,"sxm-ecomm-sagemaker-dev/freqs/img_32.593073,-85.488610_freq_3.png"
31,"img_32.593073,-85.488610_freq_4",0,"sxm-ecomm-sagemaker-dev/freqs/img_32.593073,-85.488610_freq_4.png"
32,"img_32.621311,-93.268366_freq_1",0,"sxm-ecomm-sagemaker-dev/freqs/img_32.621311,-93.268366_freq_1.png"
33,"img_32.621311,-93.268366_freq_2",0,"sxm-ecomm-sagemaker-dev/freqs/img_32.621311,-93.268366_freq_2.png"
34,"img_32.621311,-93.268366_freq_3",0,"sxm-ecomm-sagemaker-dev/freqs/img_32.621311,-93.268366_freq_3.png"
35,"img_32.621311,-93.268366_freq_4",0,"sxm-ecomm-sagemaker-dev/freqs/img_32.621311,-93.268366_freq_4.png"
36,"img_32.747997,-97.081101_freq_1",0,"sxm-ecomm-sagemaker-dev/freqs/img_32.747997,-97.081101_freq_1.png"
37,"img_32.747997,-97.081101_freq_2",0,"sxm-ecomm-sagemaker-dev/freqs/img_32.747997,-97.081101_freq_2.png"
38,"img_32.747997,-97.081101_freq_3",0,"sxm-ecomm-sagemaker-dev/freqs/img_32.747997,-97.081101_freq_3.png"
39,"img_32.747997,-97.081101_freq_4",0,"sxm-ecomm-sagemaker-dev/freqs/img_32.747997,-97.081101_freq_4.png"
40,"img_32.768546,-117.148398_freq_1",0,"sxm-ecomm-sagemaker-dev/freqs/img_32.768546,-117.148398_freq_1.png"
41,"img_32.768546,-117.148398_freq_2",0,"sxm-ecomm-sagemaker-dev/freqs/img_32.768546,-117.148398_freq_2.png"
42,"img_32.768546,-117.148398_freq_3",0,"sxm-ecomm-sagemaker-dev/freqs/img_32.768546,-117.148398_freq_3.png"
43,"img_32.768546,-117.148398_freq_4",0,"sxm-ecomm-sagemaker-dev/freqs/img_32.768546,-117.148398_freq_4.png"
44,"img_32.776300,-96.806562_freq_1",0,"sxm-ecomm-sagemaker-dev/freqs/img_32.776300,-96.806562_freq_1.png"
45,"img_32.776300,-96.806562_freq_2",0,"sxm-ecomm-sagemaker-dev/freqs/img_32.776300,-96.806562_freq_2.png"
46,"img_32.776300,-96.806562_freq_3",0,"sxm-ecomm-sagemaker-dev/freqs/img_32.776300,-96.806562_freq_3.png"
47,"img_32.776300,-96.806562_freq_4",0,"sxm-ecomm-sagemaker-dev/freqs/img_32.776300,-96.806562_freq_4.png"
48,"img_32.781604,-97.388521_freq_1",0,"sxm-ecomm-sagemaker-dev/freqs/img_32.781604,-97.388521_freq_1.png"
49,"img_32.781604,-97.388521_freq_2",0,"sxm-ecomm-sagemaker-dev/freqs/img_32.781604,-97.388521_freq_2.png"
50,"img_32.781604,-97.388521_freq_3",0,"sxm-ecomm-sagemaker-dev/freqs/img_32.781604,-97.388521_freq_3.png"
51,"img_32.781604,-97.388521_freq_4",0,"sxm-ecomm-sagemaker-dev/freqs/img_32.781604,-97.388521_freq_4.png"
52,"img_32.876899,-117.186056_freq_1",0,"sxm-ecomm-sagemaker-dev/freqs/img_32.876899,-117.186056_freq_1.png"
53,"img_32.876899,-117.186056_freq_2",0,"sxm-ecomm-sagemaker-dev/freqs/img_32.876899,-117.186056_freq_2.png"
54,"img_32.876899,-117.186056_freq_3",0,"sxm-ecomm-sagemaker-dev/freqs/img_32.876899,-117.186056_freq_3.png"
55,"img_32.876899,-117.186056_freq_4",0,"sxm-ecomm-sagemaker-dev/freqs/img_32.876899,-117.186056_freq_4.png"
56,"img_33.430566,-111.938559_freq_1",0,"sxm-ecomm-sagemaker-dev/freqs/img_33.430566,-111.938559_freq_1.png"
57,"img_33.430566,-111.938559_freq_2",0,"sxm-ecomm-sagemaker-dev/freqs/img_33.430566,-111.938559_freq_2.png"
58,"img_33.430566,-111.938559_freq_3",0,"sxm-ecomm-sagemaker-dev/freqs/img_33.430566,-111.938559_freq_3.png"
59,"img_33.430566,-111.938559_freq_4",0,"sxm-ecomm-sagemaker-dev/freqs/img_33.430566,-111.938559_freq_4.png"
60,"img_33.446081,-112.072305_freq_1",0,"sxm-ecomm-sagemaker-dev/freqs/img_33.446081,-112.072305_freq_1.png"
61,"img_33.446081,-112.072305_freq_2",0,"sxm-ecomm-sagemaker-dev/freqs/img_33.446081,-112.072305_freq_2.png"
62,"img_33.446081,-112.072305_freq_3",0,"sxm-ecomm-sagemaker-dev/freqs/img_33.446081,-112.072305_freq_3.png"
63,"img_33.446081,-112.072305_freq_4",0,"sxm-ecomm-sagemaker-dev/freqs/img_33.446081,-112.072305_freq_4.png"
64,"img_33.756855,-84.386073_freq_1",0,"sxm-ecomm-sagemaker-dev/freqs/img_33.756855,-84.386073_freq_1.png"
65,"img_33.756855,-84.386073_freq_2",0,"sxm-ecomm-sagemaker-dev/freqs/img_33.756855,-84.386073_freq_2.png"
66,"img_33.756855,-84.386073_freq_3",0,"sxm-ecomm-sagemaker-dev/freqs/img_33.756855,-84.386073_freq_3.png"
67,"img_33.756855,-84.386073_freq_4",0,"sxm-ecomm-sagemaker-dev/freqs/img_33.756855,-84.386073_freq_4.png"
